candidate_id,title,organization,official_url,asset_url,year,language,source_type,population,topics,intended_collection,use_mode,authority_level,evidence_level,license,downloadable,robots_allowed,authentication_required,estimated_size,existing_overlap,freshness,source_quality_score,decision,decision_reason
CN_MOE_SCHOOL_MH_GUIDE,中小学心理健康教育指导纲要,中华人民共和国教育部,https://www.moe.gov.cn/,,2026,zh-CN,policy_guideline,"[""children"", ""adolescents"", ""parents"", ""caregivers""]","[""children"", ""adolescents"", ""school_support"", ""parent_support""]",governance,agent_policy_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,current,100,strong_include,strong_include; score=100; Exact official page should be confirmed during manual source review.
CN_NHC_HEALTH_LITERACY_2024,中国公民健康素养——基本知识与技能（2024年版）,国家卫生健康委员会,https://www.nhc.gov.cn/,,2024,zh-CN,official_policy,"[""children"", ""adolescents"", ""young_adults"", ""adults"", ""older_adults""]","[""mental_health_literacy"", ""sleep"", ""anxiety"", ""depression"", ""scientific_help_seeking""]",professional_knowledge,psychoeducation_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,current,100,strong_include,strong_include; score=100; Homepage candidate; exact official asset may need manual confirmation if search results change.
NIA_DEPRESSION_OLDER_ADULTS,Depression and Older Adults,National Institute on Aging,https://www.nia.nih.gov/health/mental-and-emotional-health/depression-and-older-adults,,2026,en,official_web_guide,"[""older_adults"", ""caregivers""]","[""depression"", ""low_mood"", ""aging"", ""professional_help""]",professional_knowledge,psychoeducation_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,current,100,strong_include,strong_include; score=100
NIMH_ADHD,Attention-Deficit/Hyperactivity Disorder,National Institute of Mental Health,https://www.nimh.nih.gov/health/topics/attention-deficit-hyperactivity-disorder-adhd,,2026,en,fact_sheet,"[""children"", ""adolescents"", ""young_adults"", ""adults""]","[""ADHD"", ""professional_help""]",professional_knowledge,psychoeducation_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,current,100,strong_include,strong_include; score=100
NIMH_ANXIETY,Anxiety Disorders,National Institute of Mental Health,https://www.nimh.nih.gov/health/topics/anxiety-disorders,,2026,en,fact_sheet,"[""adolescents"", ""young_adults"", ""adults""]","[""anxiety_disorders"", ""anxiety"", ""panic"", ""social_anxiety""]",professional_knowledge,psychoeducation_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,current,100,strong_include,strong_include; score=100
NIMH_AUTISM,Autism Spectrum Disorder,National Institute of Mental Health,https://www.nimh.nih.gov/health/topics/autism-spectrum-disorders-asd,,2026,en,fact_sheet,"[""children"", ""adolescents"", ""young_adults"", ""adults"", ""parents"", ""caregivers""]","[""autism"", ""professional_help""]",professional_knowledge,psychoeducation_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,current,100,strong_include,strong_include; score=100
NIMH_DEPRESSION,Depression,National Institute of Mental Health,https://www.nimh.nih.gov/health/topics/depression,,2026,en,fact_sheet,"[""adolescents"", ""young_adults"", ""adults"", ""older_adults""]","[""depression"", ""low_mood"", ""professional_help""]",professional_knowledge,psychoeducation_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,current,100,strong_include,strong_include; score=100
NIMH_EATING_DISORDERS,Eating Disorders,National Institute of Mental Health,https://www.nimh.nih.gov/health/topics/eating-disorders,,2026,en,fact_sheet,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""severe_eating_disorder_risk"", ""professional_help""]",professional_knowledge,psychoeducation_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,current,100,strong_include,strong_include; score=100
NIMH_PTSD,Post-Traumatic Stress Disorder,National Institute of Mental Health,https://www.nimh.nih.gov/health/topics/post-traumatic-stress-disorder-ptsd,,2026,en,fact_sheet,"[""adolescents"", ""adults"", ""people_exposed_to_trauma""]","[""PTSD"", ""trauma"", ""professional_help""]",professional_knowledge,psychoeducation_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,current,100,strong_include,strong_include; score=100
NIMH_SUICIDE_PREVENTION,Suicide Prevention,National Institute of Mental Health,https://www.nimh.nih.gov/health/topics/suicide-prevention,,2026,en,fact_sheet,"[""adolescents"", ""young_adults"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""acute_crisis"", ""referral_guidance""]",safety,safety_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,current,100,strong_include,strong_include; score=100
