source_id,chunk_id,title,target_collection,use_mode,risk_scope,review_priority,review_status,issues,content_preview
CCI_SELF_ESTEEM,CCI_SELF_ESTEEM_77fc7cc9_00021_56c9d06eb2f8,Self-Esteem self-help resources,interventions,direct_user_support,normal,P0,pending,,"Low self-esteem can be a problem in itself and be a risk factor for other problems. Sometimes low self-esteem can be a problem in and of itself because it puts the person at risk for experiencing other problems such as depression, having persistent suicidal th"
WHO_GROUP_PM_PLUS_2020,WHO_GROUP_PM_PLUS_2020_cd42e673_00066_be1e82bb856e,Group Problem Management Plus (Group PM+): group psychological help for adults impaired by distress in communities exposed to adversity,interventions,direct_user_support,normal,P0,pending,,"• It is important, if you learn from others that a participant is experiencing violence, that you ask the participant if this is happening to them. • Use your basic helping skills when talking with participants who have experienced or are currently experiencin"
WHO_GROUP_PM_PLUS_2020,WHO_GROUP_PM_PLUS_2020_cd42e673_00067_40c861d82b6a,Group Problem Management Plus (Group PM+): group psychological help for adults impaired by distress in communities exposed to adversity,interventions,direct_user_support,normal,P0,pending,,It is important that you inform the participant of the actions that you will take to keep them safe. • Always talk to your supervisor about participants who are experiencing ongoing violence or those who have experienced violence in the past to help you decide
WHO_GROUP_PM_PLUS_2020,WHO_GROUP_PM_PLUS_2020_cd42e673_00082_c46778f519ad,Group Problem Management Plus (Group PM+): group psychological help for adults impaired by distress in communities exposed to adversity,interventions,direct_user_support,normal,P0,pending,,"7 If a participant tells you that they are experiencing ongoing violence (e.g. GBV), this must also be discussed with your supervisor so that appropriate action can be taken. This action will depend on the severity of the violence, the willingness of the parti"
WHO_GROUP_PM_PLUS_2020,WHO_GROUP_PM_PLUS_2020_cd42e673_00112_975cc56dd25e,Group Problem Management Plus (Group PM+): group psychological help for adults impaired by distress in communities exposed to adversity,interventions,direct_user_support,normal,P0,pending,,"Helping people who are survivors of sexual violence or other forms of what we label here “intimate forms of traumatic experience” (e.g. sexual violence, torture and severe domestic violence) needs extra sensitivity, for four reasons: • The survivor may not be "
WHO_GROUP_PM_PLUS_2020,WHO_GROUP_PM_PLUS_2020_cd42e673_00114_5f704fa10fa7,Group Problem Management Plus (Group PM+): group psychological help for adults impaired by distress in communities exposed to adversity,interventions,direct_user_support,normal,P0,pending,,"You need to be extra sensitive in your response to this. Your confidentiality is essential. The needs of survivors of sexual violence are many. They will probably also suffer social, legal and physical health problems. You should let them know about other serv"
WHO_GROUP_PM_PLUS_2020,WHO_GROUP_PM_PLUS_2020_cd42e673_00128_bbd2918926b9,Group Problem Management Plus (Group PM+): group psychological help for adults impaired by distress in communities exposed to adversity,interventions,direct_user_support,normal,P0,pending,,"However, there are some limits to this privacy that I want you to understand. If I am concerned that you plan to end your life in the near future, you tell me you are planning on harming someone else or you tell me about ongoing child abuse, I will talk with y"
WHO_GROUP_PM_PLUS_2020,WHO_GROUP_PM_PLUS_2020_cd42e673_00129_74468e9f26a8,Group Problem Management Plus (Group PM+): group psychological help for adults impaired by distress in communities exposed to adversity,interventions,direct_user_support,normal,P0,pending,,"11 An appropriate response to thoughts, plans or attempts of suicide will depend on national laws and local resources, and you should take this into account during the adaptation phase. In all cases, the supervisor should be contacted immediately. 12 Please re"
WHO_GROUP_PM_PLUS_2020,WHO_GROUP_PM_PLUS_2020_cd42e673_00132_319ba44bf332,Group Problem Management Plus (Group PM+): group psychological help for adults impaired by distress in communities exposed to adversity,interventions,direct_user_support,normal,P0,pending,,"Monitor plans to end one’s life In the during-intervention PSYCHLOPS assessment, you will also be monitoring thoughts of suicide of some participants: • participants who express having suicidal thoughts at the pre-PM+ assessment; • participants whose mood is v"
WHO_GROUP_PM_PLUS_2020,WHO_GROUP_PM_PLUS_2020_cd42e673_00133_5329ddde25ec,Group Problem Management Plus (Group PM+): group psychological help for adults impaired by distress in communities exposed to adversity,interventions,direct_user_support,normal,P0,pending,,Participants who have thoughts of suicide but do not plan to carry out this act can be helped through Group PM+. Assessment of thoughts of suicide13 You will have to ask participants direct questions about suicide throughout the assessment and intervention. Yo
