chunk_id,decision,reviewed_by,review_comment,rejection_reason
NICE_SELF_HARM_d77a0488_00000_df28ca3f8982,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00001_8028e3cc1c80,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00002_0f7f5aad84e0,rejected,ChatGPT-assisted review,,目录、附录、实施责任或行政信息，不是面向用户的安全支持内容
NICE_SELF_HARM_d77a0488_00003_79d773b5d1a0,rejected,ChatGPT-assisted review,,目录、附录、实施责任或行政信息，不是面向用户的安全支持内容
NICE_SELF_HARM_d77a0488_00004_be30946d6eda,rejected,ChatGPT-assisted review,,目录、附录、实施责任或行政信息，不是面向用户的安全支持内容
NICE_SELF_HARM_d77a0488_00005_b76c78c6dc48,rejected,ChatGPT-assisted review,,目录、附录、实施责任或行政信息，不是面向用户的安全支持内容
NICE_SELF_HARM_d77a0488_00006_75fa1e8ab7cb,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00007_971fecad4d0e,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00008_b0b280b8be71,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00009_9a8a17725916,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00010_268f2a91cbb6,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00011_bbb690e5e254,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00012_069cdb36a8d8,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00013_08de9a4c7e0f,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00014_b94aa8b5aae2,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00015_339e569ca94e,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00016_4f7310d7dca0,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00017_f0dcd2f4ea8b,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00018_b5c1a6f56361,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00019_1ccc8ab4b3f0,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00020_346d457cf126,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00021_e0793cb9b282,rejected,ChatGPT-assisted review,,指南证据、委员会讨论或研究方法内容，不是面向用户的安全支持正文
NICE_SELF_HARM_d77a0488_00022_4bff6ecdc9b8,rejected,ChatGPT-assisted review,,指南证据、委员会讨论或研究方法内容，不是面向用户的安全支持正文
NICE_SELF_HARM_d77a0488_00023_48f3e7657438,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00024_a53500aff77d,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00025_d480b4d76117,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00026_6a17dc0320c0,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00027_61fcb5b5b950,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00028_b5182e7fbd61,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00029_353b214d7e2d,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00030_8dcae21a9997,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00031_e78f0d6a623f,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00032_35fe12cc02f4,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00033_7122926761f2,rejected,ChatGPT-assisted review,,指南证据、委员会讨论或研究方法内容，不是面向用户的安全支持正文
NICE_SELF_HARM_d77a0488_00034_9164d5183146,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00035_cc53e48d8855,rejected,ChatGPT-assisted review,,指南证据、委员会讨论或研究方法内容，不是面向用户的安全支持正文
NICE_SELF_HARM_d77a0488_00036_f5d5668f2b12,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00037_19e21b0e1b37,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00038_e9a44264740a,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00039_cfba55c04152,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00040_14ab2eaccc5f,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00041_948585f93192,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00042_d8043428667c,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00043_85d8eeb14ce7,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00044_e3797f2e0786,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00045_cf9102e30682,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
